Category: All categories,
,
Week,bitcoin: (United States)
11/3/2013,4
11/10/2013,5
11/17/2013,12
11/24/2013,12
12/1/2013,13
12/8/2013,10
12/15/2013,10
12/22/2013,7
12/29/2013,5
1/5/2014,6
1/12/2014,6
1/19/2014,7
1/26/2014,7
2/2/2014,6
2/9/2014,7
2/16/2014,6
2/23/2014,12
3/2/2014,10
3/9/2014,5
3/16/2014,4
3/23/2014,5
3/30/2014,4
4/6/2014,3
4/13/2014,3
4/20/2014,3
4/27/2014,3
5/4/2014,2
5/11/2014,2
5/18/2014,2
5/25/2014,3
6/1/2014,3
6/8/2014,3
6/15/2014,3
6/22/2014,2
6/29/2014,3
7/6/2014,2
7/13/2014,2
7/20/2014,2
7/27/2014,2
8/3/2014,2
8/10/2014,2
8/17/2014,2
8/24/2014,2
8/31/2014,2
9/7/2014,2
9/14/2014,2
9/21/2014,2
9/28/2014,2
10/5/2014,3
10/12/2014,2
10/19/2014,2
10/26/2014,2
11/2/2014,2
11/9/2014,2
11/16/2014,2
11/23/2014,2
11/30/2014,2
12/7/2014,2
12/14/2014,2
12/21/2014,3
12/28/2014,2
1/4/2015,3
1/11/2015,3
1/18/2015,2
1/25/2015,2
2/1/2015,2
2/8/2015,2
2/15/2015,2
2/22/2015,2
3/1/2015,2
3/8/2015,2
3/15/2015,2
3/22/2015,2
3/29/2015,2
4/5/2015,2
4/12/2015,2
4/19/2015,2
4/26/2015,2
5/3/2015,2
5/10/2015,2
5/17/2015,2
5/24/2015,2
5/31/2015,2
6/7/2015,2
6/14/2015,3
6/21/2015,2
6/28/2015,2
7/5/2015,2
7/12/2015,2
7/19/2015,2
7/26/2015,2
8/2/2015,2
8/9/2015,2
8/16/2015,2
8/23/2015,2
8/30/2015,2
9/6/2015,2
9/13/2015,2
9/20/2015,2
9/27/2015,2
10/4/2015,2
10/11/2015,2
10/18/2015,2
10/25/2015,2
11/1/2015,4
11/8/2015,2
11/15/2015,2
11/22/2015,2
11/29/2015,2
12/6/2015,3
12/13/2015,2
12/20/2015,2
12/27/2015,2
1/3/2016,2
1/10/2016,2
1/17/2016,2
1/24/2016,2
1/31/2016,2
2/7/2016,2
2/14/2016,3
2/21/2016,2
2/28/2016,2
3/6/2016,2
3/13/2016,2
3/20/2016,2
3/27/2016,2
4/3/2016,2
4/10/2016,2
4/17/2016,2
4/24/2016,2
5/1/2016,3
5/8/2016,2
5/15/2016,2
5/22/2016,2
5/29/2016,2
6/5/2016,2
6/12/2016,4
6/19/2016,4
6/26/2016,3
7/3/2016,3
7/10/2016,2
7/17/2016,2
7/24/2016,2
7/31/2016,3
8/7/2016,2
8/14/2016,2
8/21/2016,2
8/28/2016,2
9/4/2016,2
9/11/2016,2
9/18/2016,2
9/25/2016,2
10/2/2016,2
10/9/2016,2
10/16/2016,2
10/23/2016,2
10/30/2016,2
11/6/2016,2
11/13/2016,2
11/20/2016,2
11/27/2016,2
12/4/2016,2
12/11/2016,2
12/18/2016,3
12/25/2016,4
1/1/2017,6
1/8/2017,4
1/15/2017,3
1/22/2017,3
1/29/2017,3
2/5/2017,3
2/12/2017,3
2/19/2017,4
2/26/2017,4
3/5/2017,5
3/12/2017,4
3/19/2017,4
3/26/2017,3
4/2/2017,3
4/9/2017,3
4/16/2017,3
4/23/2017,4
4/30/2017,5
5/7/2017,7
5/14/2017,7
5/21/2017,17
5/28/2017,10
6/4/2017,10
6/11/2017,11
6/18/2017,8
6/25/2017,8
7/2/2017,6
7/9/2017,7
7/16/2017,9
7/23/2017,8
7/30/2017,12
8/6/2017,12
8/13/2017,17
8/20/2017,12
8/27/2017,12
9/3/2017,12
9/10/2017,15
9/17/2017,11
9/24/2017,9
10/1/2017,9
10/8/2017,14
10/15/2017,15
10/22/2017,15
10/29/2017,22
11/5/2017,23
11/12/2017,26
11/19/2017,23
11/26/2017,63
12/3/2017,94
12/10/2017,83
12/17/2017,100
12/24/2017,57
12/31/2017,42
1/7/2018,39
1/14/2018,51
1/21/2018,34
1/28/2018,36
2/4/2018,43
2/11/2018,23
2/18/2018,20
2/25/2018,16
3/4/2018,17
3/11/2018,17
3/18/2018,15
3/25/2018,15
4/1/2018,15
4/8/2018,14
4/15/2018,12
4/22/2018,13
4/29/2018,10
5/6/2018,11
5/13/2018,10
5/20/2018,10
5/27/2018,9
6/3/2018,8
6/10/2018,12
6/17/2018,9
6/24/2018,11
7/1/2018,9
7/8/2018,8
7/15/2018,10
7/22/2018,11
7/29/2018,9
8/5/2018,10
8/12/2018,10
8/19/2018,8
8/26/2018,8
9/2/2018,9
9/9/2018,8
9/16/2018,7
9/23/2018,7
9/30/2018,6
10/7/2018,6
10/14/2018,6
10/21/2018,5
